# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
AWTEventQueue.dispatchTimeTotalNS,1709317511262000000,1709317571279000000,21683560295
FlushQueue.executionTimeMaxNs,1709317511262000000,1709317571279000000,2717908991
FlushQueue.waitingTime90PNs,1709317511262000000,1709317571279000000,897581055
NonBlockingReadAction.finalizedExecutionTimeUs,1709317511262000000,1709317571279000000,9721959
FlushQueue.waitingTimeMaxNs,1709317511262000000,1709317571279000000,2634022911
AWTEventQueue.dispatchTimeMaxNs,1709317511262000000,1709317571279000000,2717908991
NonBlockingReadAction.finalizedExecutionsCount,1709317511262000000,1709317571279000000,38
FlushQueue.executionTimeAvgNs,1709317511262000000,1709317571279000000,1.0735589220796758E7
FlushQueue.executionTime90PNs,1709317511262000000,1709317571279000000,5963775
FlushQueue.tasksExecuted,1709317511262000000,1709317571279000000,1481
AWTEventQueue.eventsDispatched,1709317511262000000,1709317571279000000,2264
FlushQueue.queueSizeAvg,1709317511262000000,1709317571279000000,7.158001350438893
NonBlockingReadAction.failedExecutionsCount,1709317511262000000,1709317571279000000,0
FlushQueue.queueSizeMax,1709317511262000000,1709317571279000000,40
AWTEventQueue.dispatchTimeAvgNs,1709317511262000000,1709317571279000000,9580696.763250884
FlushQueue.waitingTimeAvgNs,1709317511262000000,1709317571279000000,2.2712074196353814E8
AWTEventQueue.dispatchTime90PNs,1709317511262000000,1709317571279000000,8585215
NonBlockingReadAction.failedExecutionTimeUs,1709317511262000000,1709317571279000000,0
FlushQueue.queueSize90P,1709317511262000000,1709317571279000000,24
Indexes.stubs.lookupDurationMaxMs,1709317511262000000,1709317571279000000,242.0
VFSFlusher.totalContentionQuotaSpent,1709317511262000000,1709317571279000000,0
Indexes.stubs.lookups,1709317511262000000,1709317571279000000,526.0
Indexes.entries.lookupDurationAvgMs,1709317511262000000,1709317571279000000,2.887323943661972
Indexes.allKeys.lookups,1709317511262000000,1709317571279000000,1.0
IndexesFlusher.totalContentionQuotaSpent,1709317511262000000,1709317571279000000,0
VFSFlusher.totalFlushesRetried,1709317511262000000,1709317571279000000,0
IndexesFlusher.totalFlushesRetried,1709317511262000000,1709317571279000000,0
Indexes.entries.lookupDurationMaxMs,1709317511262000000,1709317571279000000,387.0
Indexes.entries.lookups,1709317511262000000,1709317571279000000,426.0
IndexesFlusher.totalFlushes,1709317511262000000,1709317571279000000,42
IndexesFlusher.totalFlushingTimeUs,1709317511262000000,1709317571279000000,555000
Indexes.stubs.lookupDuration90PMs,1709317511262000000,1709317571279000000,1.0
VFSFlusher.totalFlushes,1709317511262000000,1709317571279000000,7
VFSFlusher.totalFlushingTimeUs,1709317511262000000,1709317571279000000,201421
Indexes.allKeys.lookupDurationMaxMs,1709317511262000000,1709317571279000000,8.0
Indexes.allKeys.lookupDuration90PMs,1709317511262000000,1709317571279000000,8.0
Indexes.allKeys.lookupDurationAvgMs,1709317511262000000,1709317571279000000,8.0
Indexes.entries.lookupDuration90PMs,1709317511262000000,1709317571279000000,1.0
Indexes.stubs.lookupDurationAvgMs,1709317511262000000,1709317571279000000,1.796577946768061
FileNameCache.queries,1709317511262000000,1709317571279000000,8097075
FileNameCache.totalMisses,1709317511262000000,1709317571279000000,191042
FileNameCache.fastMisses,1709317511262000000,1709317571279000000,405975
JVM.GC.collectionTimesMs,1709317511262000000,1709317571279000000,836
OS.loadAverage,1709317511262000000,1709317571279000000,6.61
JVM.maxNativeBytes,1709317511262000000,1709317571279000000,-1
JVM.usedHeapBytes,1709317511262000000,1709317571279000000,475999232
JVM.totalCpuTimeMs,1709317511262000000,1709317571279000000,82470
JVM.usedNativeBytes,1709317511262000000,1709317571279000000,393375232
JVM.maxHeapBytes,1709317511262000000,1709317571279000000,2147483648
JVM.GC.collections,1709317511262000000,1709317571279000000,27
JVM.threadCount,1709317511262000000,1709317571279000000,123
workspaceModel.loading.from.cache.ms,1709317511262000000,1709317571279000000,784
workspaceModel.init.bridges.ms,1709317511262000000,1709317571279000000,120
workspaceModel.collect.changes.ms,1709317511262000000,1709317571279000000,0
workspaceModel.updates.ms,1709317511262000000,1709317571279000000,641
workspaceModel.pre.handlers.ms,1709317511262000000,1709317571279000000,9
workspaceModel.replace.project.model.ms,1709317511262000000,1709317571279000000,6
workspaceModel.to.snapshot.ms,1709317511262000000,1709317571279000000,11
workspaceModel.initializing.ms,1709317511262000000,1709317571279000000,120
workspaceModel.loading.total.ms,1709317511262000000,1709317571279000000,870
workspaceModel.updates.precise.ms,1709317511262000000,1709317571279000000,389
workspaceModel.updates.count,1709317511262000000,1709317571279000000,17
workspaceModel.update.unloaded.entities.ms,1709317511262000000,1709317571279000000,0
workspaceModel.check.recursive.update.ms,1709317511262000000,1709317571279000000,1
FilePageCache.pageLoads,1709317511262000000,1709317571279000000,229
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1709317511262000000,1709317571279000000,242327552
FilePageCache.totalPageLoadsUs,1709317511262000000,1709317571279000000,4442942
StreamlinedBlobStorage.recordsDeleted,1709317511262000000,1709317571279000000,321
DirectByteBufferAllocator.reclaimed,1709317511262000000,1709317571279000000,3
FilePageCache.maxRegisteredFiles,1709317511262000000,1709317571279000000,450
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1709317511262000000,1709317571279000000,0
StorageLockContext.competingThreads.90P,1709317511262000000,1709317571279000000,0
FilePageCache.disposedBuffers,1709317511262000000,1709317571279000000,3
StreamlinedBlobStorage.recordsRelocated,1709317511262000000,1709317571279000000,0
FilePageCache.capacityInBytes,1709317511262000000,1709317571279000000,524288000
DirectByteBufferAllocator.misses,1709317511262000000,1709317571279000000,226
StorageLockContext.competingThreads.avg,1709317511262000000,1709317571279000000,0.041237113402061855
DirectByteBufferAllocator.disposed,1709317511262000000,1709317571279000000,0
StreamlinedBlobStorage.recordsAllocated,1709317511262000000,1709317571279000000,277627
FilePageCache.pageLoadsAboveSizeThreshold,1709317511262000000,1709317571279000000,0
FilePageCache.totalPageDisposalsUs,1709317511262000000,1709317571279000000,1036
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1709317511262000000,1709317571279000000,19586185
FilePageCache.pageFastCacheHits,1709317511262000000,1709317571279000000,727282
StorageLockContext.competingThreads.max,1709317511262000000,1709317571279000000,1
FilePageCache.maxCacheSizeInBytes,1709317511262000000,1709317571279000000,242327552
DirectByteBufferAllocator.hits,1709317511262000000,1709317571279000000,3
FilePageCache.pageHits,1709317511262000000,1709317571279000000,1354
FilePageCache.uncachedFileAccess,1709317511262000000,1709317571279000000,95
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1709317511262000000,1709317571279000000,12221098
jps.global.get.library.by.name.ms,1709317511262000000,1709317571279000000,0
workspaceModel.global.updates.ms,1709317511262000000,1709317571279000000,0
workspaceModel.moduleBridge.before.changed.ms,1709317511262000000,1709317571279000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1709317511262000000,1709317571279000000,1
jps.project.serializers.load.ms,1709317511262000000,1709317571279000000,820
workspaceModel.delayed.project.synchronizer.sync.ms,1709317511262000000,1709317571279000000,1186
workspaceModel.mutableEntityStorage.add.entity.ms,1709317511262000000,1709317571279000000,523
jps.global.initialize.library.bridges.after.loading.ms,1709317511262000000,1709317571279000000,0
jps.storage.jps.conf.reader.load.component.ms,1709317511262000000,1709317571279000000,328
jps.global.handle.changed.events.ms,1709317511262000000,1709317571279000000,0
workspaceModel.load.cache.from.file.ms,1709317511262000000,1709317571279000000,781
workspaceModel.global.updates.count,1709317511262000000,1709317571279000000,0
jps.module.iml.entities.serializer.load.entities.ms,1709317511262000000,1709317571279000000,294
workspaceModel.mutableEntityStorage.collect.changes.ms,1709317511262000000,1709317571279000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1709317511262000000,1709317571279000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1709317511262000000,1709317571279000000,11
workspaceModel.mutableEntityStorage.replace.by.source.ms,1709317511262000000,1709317571279000000,325
workspaceModel.mutableEntityStorage.referrers.ms,1709317511262000000,1709317571279000000,0
workspaceModel.mutableEntityStorage.entities.ms,1709317511262000000,1709317571279000000,3
workspaceModel.mutableEntityStorage.put.entity.ms,1709317511262000000,1709317571279000000,34
workspaceModel.mutableEntityStorage.has.same.entities.ms,1709317511262000000,1709317571279000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1709317511262000000,1709317571279000000,4
jps.facet.change.listener.before.change.events.ms,1709317511262000000,1709317571279000000,1
jps.load.initial.state.ms,1709317511262000000,1709317571279000000,6
jps.facet.change.listener.process.change.events.ms,1709317511262000000,1709317571279000000,1
jps.save.global.entities.ms,1709317511262000000,1709317571279000000,0
jps.app.storage.content.reader.load.component.ms,1709317511262000000,1709317571279000000,0
jps.facet.change.listener.init.bridge.ms,1709317511262000000,1709317571279000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1709317511262000000,1709317571279000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1709317511262000000,1709317571279000000,6
workspaceModel.save.cache.to.file.ms,1709317511262000000,1709317571279000000,1055
jps.save.changed.project.entities.ms,1709317511262000000,1709317571279000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1709317511262000000,1709317571279000000,0
jps.project.serializers.save.ms,1709317511262000000,1709317571279000000,0
workspaceModel.orphan.listener.update.ms,1709317511262000000,1709317571279000000,6
workspaceModel.sync.entities.ms,1709317511262000000,1709317571279000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1709317511262000000,1709317571279000000,217
workspaceModel.moduleManagerBridge.load.module.ms,1709317511262000000,1709317571279000000,0
jps.module.iml.entities.serializer.save.entities.ms,1709317511262000000,1709317571279000000,0
jps.artifact.entities.serializer.save.entities.ms,1709317511262000000,1709317571279000000,0
workspaceModel.global.apply.state.to.project.ms,1709317511262000000,1709317571279000000,69
workspaceModel.moduleManagerBridge.create.module.instance.ms,1709317511262000000,1709317571279000000,0
workspaceModel.moduleBridge.update.option.ms,1709317511262000000,1709317571279000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1709317511262000000,1709317571279000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1709317511262000000,1709317571279000000,0
jps.library.entities.serializer.save.entities.ms,1709317511262000000,1709317571279000000,0
jps.load.project.to.empty.storage.ms,1709317511262000000,1709317571279000000,827
jps.reload.project.entities.ms,1709317511262000000,1709317571279000000,0
workspaceModel.moduleBridgeLoader.loading.modules.ms,1709317511262000000,1709317571279000000,5794
workspaceModel.moduleManagerBridge.load.all.modules.ms,1709317511262000000,1709317571279000000,1559
jps.apply.loaded.storage.ms,1709317511262000000,1709317571279000000,349
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1709317511262000000,1709317571279000000,2
jps.global.initialize.library.bridges.ms,1709317511262000000,1709317571279000000,118
jps.library.entities.serializer.load.entities.ms,1709317511262000000,1709317571279000000,126
jps.global.handle.before.change.events.ms,1709317511262000000,1709317571279000000,0
workspaceModel.mutableEntityStorage.add.diff.ms,1709317511262000000,1709317571279000000,126
jps.artifact.entities.serializer.load.entities.ms,1709317511262000000,1709317571279000000,0
jps.global.get.library.ms,1709317511262000000,1709317571279000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1709317511262000000,1709317571279000000,29
jps.global.get.libraries.ms,1709317511262000000,1709317571279000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1709317511262000000,1709317571279000000,0
workspaceModel.moduleBridge.facet.initialization.ms,1709317511262000000,1709317571279000000,2
AWTEventQueue.dispatchTimeTotalNS,1709317571279000000,1709317631278000000,6866271995
FlushQueue.executionTimeMaxNs,1709317571279000000,1709317631278000000,3506438143
FlushQueue.waitingTime90PNs,1709317571279000000,1709317631278000000,245366783
NonBlockingReadAction.finalizedExecutionTimeUs,1709317571279000000,1709317631278000000,893474
FlushQueue.waitingTimeMaxNs,1709317571279000000,1709317631278000000,4026531839
AWTEventQueue.dispatchTimeMaxNs,1709317571279000000,1709317631278000000,3506438143
NonBlockingReadAction.finalizedExecutionsCount,1709317571279000000,1709317631278000000,551
FlushQueue.executionTimeAvgNs,1709317571279000000,1709317631278000000,4083831.331699346
FlushQueue.executionTime90PNs,1709317571279000000,1709317631278000000,851967
FlushQueue.tasksExecuted,1709317571279000000,1709317631278000000,1224
AWTEventQueue.eventsDispatched,1709317571279000000,1709317631278000000,1511
FlushQueue.queueSizeAvg,1709317571279000000,1709317631278000000,7.505718954248366
NonBlockingReadAction.failedExecutionsCount,1709317571279000000,1709317631278000000,1
FlushQueue.queueSizeMax,1709317571279000000,1709317631278000000,87
AWTEventQueue.dispatchTimeAvgNs,1709317571279000000,1709317631278000000,4547323.171409663
FlushQueue.waitingTimeAvgNs,1709317571279000000,1709317631278000000,1.829212016470588E8
AWTEventQueue.dispatchTime90PNs,1709317571279000000,1709317631278000000,1761279
NonBlockingReadAction.failedExecutionTimeUs,1709317571279000000,1709317631278000000,53405
FlushQueue.queueSize90P,1709317571279000000,1709317631278000000,26
Indexes.stubs.lookupDurationMaxMs,1709317571279000000,1709317631278000000,135.0
VFSFlusher.totalContentionQuotaSpent,1709317571279000000,1709317631278000000,0
Indexes.stubs.lookups,1709317571279000000,1709317631278000000,1842.0
Indexes.entries.lookupDurationAvgMs,1709317571279000000,1709317631278000000,0.22431795217244863
Indexes.allKeys.lookups,1709317571279000000,1709317631278000000,1.0
IndexesFlusher.totalContentionQuotaSpent,1709317571279000000,1709317631278000000,0
VFSFlusher.totalFlushesRetried,1709317571279000000,1709317631278000000,0
IndexesFlusher.totalFlushesRetried,1709317571279000000,1709317631278000000,0
Indexes.entries.lookupDurationMaxMs,1709317571279000000,1709317631278000000,109.0
Indexes.entries.lookups,1709317571279000000,1709317631278000000,2969.0
IndexesFlusher.totalFlushes,1709317571279000000,1709317631278000000,59
IndexesFlusher.totalFlushingTimeUs,1709317571279000000,1709317631278000000,356293
Indexes.stubs.lookupDuration90PMs,1709317571279000000,1709317631278000000,0.0
VFSFlusher.totalFlushes,1709317571279000000,1709317631278000000,1
VFSFlusher.totalFlushingTimeUs,1709317571279000000,1709317631278000000,81051
Indexes.allKeys.lookupDurationMaxMs,1709317571279000000,1709317631278000000,0.0
Indexes.allKeys.lookupDuration90PMs,1709317571279000000,1709317631278000000,0.0
Indexes.allKeys.lookupDurationAvgMs,1709317571279000000,1709317631278000000,0.0
Indexes.entries.lookupDuration90PMs,1709317571279000000,1709317631278000000,0.0
Indexes.stubs.lookupDurationAvgMs,1709317571279000000,1709317631278000000,0.25787187839305103
FileNameCache.queries,1709317571279000000,1709317631278000000,1895273
FileNameCache.totalMisses,1709317571279000000,1709317631278000000,29623
FileNameCache.fastMisses,1709317571279000000,1709317631278000000,132436
JVM.GC.collectionTimesMs,1709317571279000000,1709317631278000000,77
OS.loadAverage,1709317571279000000,1709317631278000000,3.57
JVM.maxNativeBytes,1709317571279000000,1709317631278000000,-1
JVM.usedHeapBytes,1709317571279000000,1709317631278000000,976224256
JVM.totalCpuTimeMs,1709317571279000000,1709317631278000000,32670
JVM.usedNativeBytes,1709317571279000000,1709317631278000000,476179440
JVM.maxHeapBytes,1709317571279000000,1709317631278000000,2147483648
JVM.GC.collections,1709317571279000000,1709317631278000000,1
JVM.threadCount,1709317571279000000,1709317631278000000,61
workspaceModel.loading.from.cache.ms,1709317571279000000,1709317631278000000,784
workspaceModel.init.bridges.ms,1709317571279000000,1709317631278000000,120
workspaceModel.collect.changes.ms,1709317571279000000,1709317631278000000,0
workspaceModel.updates.ms,1709317571279000000,1709317631278000000,641
workspaceModel.pre.handlers.ms,1709317571279000000,1709317631278000000,9
workspaceModel.replace.project.model.ms,1709317571279000000,1709317631278000000,6
workspaceModel.to.snapshot.ms,1709317571279000000,1709317631278000000,11
workspaceModel.initializing.ms,1709317571279000000,1709317631278000000,120
workspaceModel.loading.total.ms,1709317571279000000,1709317631278000000,870
workspaceModel.updates.precise.ms,1709317571279000000,1709317631278000000,389
workspaceModel.updates.count,1709317571279000000,1709317631278000000,17
workspaceModel.update.unloaded.entities.ms,1709317571279000000,1709317631278000000,0
workspaceModel.check.recursive.update.ms,1709317571279000000,1709317631278000000,1
FilePageCache.pageLoads,1709317571279000000,1709317631278000000,42
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1709317571279000000,1709317631278000000,273883136
FilePageCache.totalPageLoadsUs,1709317571279000000,1709317631278000000,611831
StreamlinedBlobStorage.recordsDeleted,1709317571279000000,1709317631278000000,0
DirectByteBufferAllocator.reclaimed,1709317571279000000,1709317631278000000,0
FilePageCache.maxRegisteredFiles,1709317571279000000,1709317631278000000,450
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1709317571279000000,1709317631278000000,0
StorageLockContext.competingThreads.90P,1709317571279000000,1709317631278000000,0
FilePageCache.disposedBuffers,1709317571279000000,1709317631278000000,0
StreamlinedBlobStorage.recordsRelocated,1709317571279000000,1709317631278000000,0
FilePageCache.capacityInBytes,1709317571279000000,1709317631278000000,524288000
DirectByteBufferAllocator.misses,1709317571279000000,1709317631278000000,42
StorageLockContext.competingThreads.avg,1709317571279000000,1709317631278000000,0.0
DirectByteBufferAllocator.disposed,1709317571279000000,1709317631278000000,0
StreamlinedBlobStorage.recordsAllocated,1709317571279000000,1709317631278000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1709317571279000000,1709317631278000000,0
FilePageCache.totalPageDisposalsUs,1709317571279000000,1709317631278000000,118
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1709317571279000000,1709317631278000000,0
FilePageCache.pageFastCacheHits,1709317571279000000,1709317631278000000,106641
StorageLockContext.competingThreads.max,1709317571279000000,1709317631278000000,0
FilePageCache.maxCacheSizeInBytes,1709317571279000000,1709317631278000000,273883136
DirectByteBufferAllocator.hits,1709317571279000000,1709317631278000000,0
FilePageCache.pageHits,1709317571279000000,1709317631278000000,701
FilePageCache.uncachedFileAccess,1709317571279000000,1709317631278000000,9
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1709317571279000000,1709317631278000000,1
jps.global.get.library.by.name.ms,1709317571279000000,1709317631278000000,0
workspaceModel.global.updates.ms,1709317571279000000,1709317631278000000,0
workspaceModel.moduleBridge.before.changed.ms,1709317571279000000,1709317631278000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1709317571279000000,1709317631278000000,1
jps.project.serializers.load.ms,1709317571279000000,1709317631278000000,820
workspaceModel.delayed.project.synchronizer.sync.ms,1709317571279000000,1709317631278000000,1186
